kernel_id,gpu_target,category,file_name,source_path,algorithm_name,variant,line_count,byte_size,source_sha256,has_flags,flags_path,flags,requires_rdc_from_flags,requires_rdc,uses_cooperative_groups,uses_atomic_ops,uses_cache_pool,uses_compact_graph,uses_cusparse,includes
a100/centrality/betweenness_centrality,a100,centrality,betweenness_centrality.cu,cpp/src/aai/impl/a100/centrality/betweenness_centrality.cu,betweenness_centrality,base,469,14311,eaaee7ebb70368cb6c4eee7110d44d12abb15ff467121f9e92b87153afc2ab09,True,cpp/src/aai/impl/a100/centrality/betweenness_centrality.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;cstddef;vector
a100/centrality/betweenness_centrality_mask,a100,centrality,betweenness_centrality_mask.cu,cpp/src/aai/impl/a100/centrality/betweenness_centrality_mask.cu,betweenness_centrality,mask,668,23019,caaf99ff3a6cc484716f9b841fddd3d167e0a8dab528d2fa2d9c699413b0331b,True,cpp/src/aai/impl/a100/centrality/betweenness_centrality_mask.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;vector
a100/centrality/betweenness_centrality_seg,a100,centrality,betweenness_centrality_seg.cu,cpp/src/aai/impl/a100/centrality/betweenness_centrality_seg.cu,betweenness_centrality,seg,380,12516,b7efdf7c3bc52cccb1293c23769c216007e2cc3f94e0659f89cb5fab20196608,True,cpp/src/aai/impl/a100/centrality/betweenness_centrality_seg.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;vector
a100/centrality/betweenness_centrality_seg_mask,a100,centrality,betweenness_centrality_seg_mask.cu,cpp/src/aai/impl/a100/centrality/betweenness_centrality_seg_mask.cu,betweenness_centrality,seg_mask,382,12049,c88d5076d08e67dbae01d1fcc00bc27e5169a3061f379eae9b72d427ef455432,True,cpp/src/aai/impl/a100/centrality/betweenness_centrality_seg_mask.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;cmath;vector;algorithm
a100/centrality/edge_betweenness_centrality,a100,centrality,edge_betweenness_centrality.cu,cpp/src/aai/impl/a100/centrality/edge_betweenness_centrality.cu,edge_betweenness_centrality,base,351,10176,70e85563f7d5ee46d4c6dc022f3a9be030f457119b07a0befbf0fe99de4bae06,True,cpp/src/aai/impl/a100/centrality/edge_betweenness_centrality.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;vector
a100/centrality/edge_betweenness_centrality_mask,a100,centrality,edge_betweenness_centrality_mask.cu,cpp/src/aai/impl/a100/centrality/edge_betweenness_centrality_mask.cu,edge_betweenness_centrality,mask,469,15390,b4ad3936e22b6717d0c78b05b1e234acbeef5b33af42e50ad57bcaf858e61739,True,cpp/src/aai/impl/a100/centrality/edge_betweenness_centrality_mask.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;vector
a100/centrality/edge_betweenness_centrality_seg,a100,centrality,edge_betweenness_centrality_seg.cu,cpp/src/aai/impl/a100/centrality/edge_betweenness_centrality_seg.cu,edge_betweenness_centrality,seg,363,11006,2aecb1f02b8c81b48a13bb3f56cd5edc9b39bf2627424d8f159abda7751fde6f,True,cpp/src/aai/impl/a100/centrality/edge_betweenness_centrality_seg.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;optional;vector
a100/centrality/edge_betweenness_centrality_seg_mask,a100,centrality,edge_betweenness_centrality_seg_mask.cu,cpp/src/aai/impl/a100/centrality/edge_betweenness_centrality_seg_mask.cu,edge_betweenness_centrality,seg_mask,440,14076,b838a68ab615c32d309a842d46189eafd7f8be4b56b8cd8763c81036adc7f2fa,True,cpp/src/aai/impl/a100/centrality/edge_betweenness_centrality_seg_mask.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;cstddef;vector;algorithm;thread
a100/centrality/eigenvector_centrality,a100,centrality,eigenvector_centrality.cu,cpp/src/aai/impl/a100/centrality/eigenvector_centrality.cu,eigenvector_centrality,base,287,8678,3349fb2fe7f9a3049ac3d056afa5f29fa53a10b09b76d4fd94cad952a76a563e,True,cpp/src/aai/impl/a100/centrality/eigenvector_centrality.cu.flags,--use_fast_math,False,False,False,True,True,True,True,cugraph/aai/algorithms.hpp;cuda_runtime.h;cusparse.h;cstdint;algorithm;cub/cub.cuh
a100/centrality/eigenvector_centrality_f32,a100,centrality,eigenvector_centrality_f32.cu,cpp/src/aai/impl/a100/centrality/eigenvector_centrality_f32.cu,eigenvector_centrality_f32,base,317,11343,2dadcdca92338395b313cb0bc2a56c7bcbb45c384f7b861b2d48da1da8ded2cb,True,cpp/src/aai/impl/a100/centrality/eigenvector_centrality_f32.cu.flags,--use_fast_math,False,False,False,True,True,True,True,cugraph/aai/algorithms.hpp;cuda_runtime.h;cusparse.h;cstdint;cmath
